City,City-Country_EN
A Coruña,"A Coruna, Spain"
Turín,"Turin, Italy"
Ciudad de Panama,"Panama City, Panama"
Aviñón,"Avignon, France"
Ciudad del Vaticano,"Vatican City, Vatican City"
Luxemburgo,"Luxembourg, Luxembourg"
Basilea,"Basel, Switzerland"
Estación McMurdo,"McMurdo Station, Antarctica"
Ciudad de Kuwait,"Kuwait City, Kuwait"
Nápoles,"Naples, Italy"
Venecia,"Venice, Italy"
"Torshavn, Islas Feroe","Torshavn, Faroe Islands, Denmark"
Islas de la Bahía,"Bay Islands, Honduras"
Alepo,"Aleppo, Syria"
Addis Abeba,"Addis Ababa, Ethiopia"
"Ashland, Oregón","Ashland, OR, United States"
Cocinero,"Kitchener, Canada"
"Santa Bárbara, CA","Santa Barbara, CA, United States"
Milán,"Milan, Italy"
Jerusalén,"Jerusalem, Israel"
Brujas,"Bruges, Belgium"
"Cayo Hueso, FL","Key West, FL, United States"
Moscatel,"Muscat, Oman"
Copán,"Copan, Honduras"
Rodas,"Rhodes, Greece"
Puerto Príncipe,"Port-au-Prince, Haiti"
Orán,"Oran, Algeria"
"Chania, Creta","Chania, Crete, Greece"
Agradable,"Nice, France"
Estrasburgo,"Strasbourg, France"
Bolsa,"Bursa, Turkey"
Lago de Como,"Lake Como, Italy"
Montañita,"Montanita, Ecuador"
Bruselas,"Brussels, Belgium"
"Princeton, Nueva Jersey","Princeton, NJ, United States"
Astaná,"Astana, Kazakhstan"
"Corralejo, Canarias","Corralejo, Canary Islands, Spain"
San Luis Potosí,"San Luis Potosi, Mexico"
"Hilo, Hawái","Hilo, Hawaii, United States"
Matiz,"Hue, Vietnam"
La haya,"The Hague, Netherlands"
Florencia,"Florence, Italy"
Amberes,"Antwerp, Belgium"
Asunción,"Asuncion, Paraguay"
"Grand Forks, Dakota del Norte","Grand Forks, ND, United States"
Bakú,"Baku, Azerbaijan"
Puerto Said,"Port Said, Egypt"
Costa Dorada,"Gold Coast, Australia"
Torreón,"Torreon, Mexico"
Washington DC,"Washington, DC, United States"
"Winston, Carolina del Norte","Winston, NC, United States"
"Misión, TX","Mission, TX, United States"
Malaca,"Malacca, Malaysia"
Jartum,"Khartoum, Sudan"
Constantino,"Constantine, Algeria"
Málaga,"Malaga, Spain"
La ciudad de Quebec,"Quebec City, Canada"
"Taos, Nuevo México","Taos, NM, United States"
"Doblar, OR","Bend, OR, United States"
Puerto alegre,"Porto Alegre, Brazil"
"High Point, Carolina del Norte","High Point, NC, United States"
Manaos,"Manaus, Brazil"
Kaliningrado,"Kaliningrad, Russia"
Bolonia,"Bologna, Italy"
Argel,"Algiers, Algeria"
Puerto de España,"Port of Spain, Trinidad and Tobago"
Uagadugú,"Ouagadougou, Burkina Faso"
Lomé,"Lome, Togo"
Bagdad,"Baghdad, Iraq"
Mónaco,"Monaco, Monaco"
"Kauai, Hawái","Kauai, Hawaii, United States"
Ginebra,"Geneva, Switzerland"
Ciudad de Belice,"Belize City, Belize"
Isla Tsushima,"Tsushima Island, Japan"
Lovaina,"Leuven, Belgium"
Salsburgo,"Salzburg, Austria"
Burdeos,"Bordeaux, France"
Zúrich,"Zurich, Switzerland"
"Ciudad de Okinawa, Okinawa","Okinawa City, Okinawa, Japan"
"Lectura, PA","Reading, PA, United States"
La meca,"Mecca, Saudi Arabia"
Marsella,"Marseille, France"
De San Juan,"St John's, Antigua and Barbuda"
Kioto,"Kyoto, Japan"
"Santa María, CA","Santa Maria, CA, United States"
Kazán,"Kazan, Russia"
Rostov del Don,"Rostov-on-Don, Russia"
Alejandría,"Alexandria, Egypt"
Roma,"Rome, Italy"
"Vineland, Nueva Jersey","Vineland, NJ, United States"
Teherán,"Tehran, Iran"
Riad,"Riyadh, Saudi Arabia"
Juárez,"Juarez, Mexico"
Ekaterimburgo,"Yekaterinburg, Russia"
Gotemburgo,"Gothenburg, Sweden"
Bogotá,"Bogota, Colombia"
Calcuta,"Kolkata, India"
Járkov,"Kharkiv, Ukraine"
Yaundé,"Yaounde, Cameroon"
"Rocky Mount, Carolina del Norte","Rocky Mount, NC, United States"
Corcho,"Cork, Ireland"
Córdoba,"Cordoba, Spain"
El Cairo,"Cairo, Egypt"
Fez,"Fes, Morocco"
El Salvador,"Salvador, Brazil"
"Portland, YO","Portland, ME, United States"
Túnez,"Tunis, Tunisia"
"Providencia, RI","Providence, RI, United States"
"Ciudad de Lake Havasu, AZ","Lake Havasu City, AZ, United States"
Gante,"Ghent, Belgium"
Fuerte McMurray,"Fort McMurray, Canada"
"Lawton, de acuerdo","Lawton, OK, United States"
Macao,"Macau, China"
Berna,"Bern, Switzerland"
Ciudad de Guatemala,"Guatemala City, Guatemala"
"Filadelfia, PA","Philadelphia, PA, United States"
"Wilmington, Carolina del Norte","Wilmington, NC, United States"
Leyendo,"Reading, United Kingdom"
Volgogrado,"Volgograd, Russia"
"Lisboa, Portugal","Lisbon, Portugal"
"Canggu, Bali, Indonesia","Canggu, Bali, Indonesia"
"Ciudad de México, México","Mexico City, Mexico"
"Chiang Mai, Tailandia","Chiang Mai, Thailand"
"Belgrado, Serbia","Belgrade, Serbia"
"Berlín, Alemania","Berlin, Germany"
"Bangkok, Tailandia","Bangkok, Thailand"
"Praga, Chequia","Prague, Czechia"
"Istanbul, Turquía","Istanbul, Turkey"
"Taipei, Taiwán","Taipei, Taiwan"
"Bangalore, India","Bengaluru, India"
"Ciudad del Cabo, Sudáfrica","Cape Town, South Africa"
"Singapur, Singapur","Singapore, Singapore"
"Cluj, Rumania","Cluj, Romania"
"Ko Pha Ngan, Tailandia","Ko Pha Ngan, Thailand"
"Buenos Aires, Argentina","Buenos Aires, Argentina"
"Auckland, Nueva Zelanda","Auckland, New Zealand"
"Melbourne, Australia","Melbourne, Australia"
"Londres, Reino Unido","London, United Kingdom"
"Playa del Carmen, México","Playa del Carmen, Mexico"
"George Town, Penang, Malasia","George Town, Penang, Malaysia"
"Zagreb, Croacia","Zagreb, Croatia"
"Moscú, Rusia","Moscow, Russia"
"Budapest, Hungría","Budapest, Hungary"
"Katmandú, Nepal","Kathmandu, Nepal"
"Lviv, Ucrania","Lviv, Ukraine"
"Brasov, Rumania","Brasov, Romania"
"Vancouver, Canada","Vancouver, Canada"
"Seattle, WA, Estados Unidos","Seattle, WA, United States"
"Sofía, Bulgaria","Sofia, Bulgaria"
"San Petersburgo, Rusia","Saint Petersburg, Russia"
"Austin, TX, Estados Unidos","Austin, TX, United States"
"Puerto Vallarta, México","Puerto Vallarta, Mexico"
"São Paulo, Brasil","São Paulo, Brazil"
"Kiev, Ucrania","Kiev, Ukraine"
"Seúl, Corea del Sur","Seoul, South Korea"
"Yangon, Myanmar","Yangon, Myanmar"
"Sarajevo, Bosnia","Sarajevo, Bosnia"
"Estocolmo, Suiza","Stockholm, Sweden"
"Sydney, Australia","Sydney, Australia"
"Portland, OR, Estados Unidos","Portland, OR, United States"
"Da Nang, Vietnam","Da Nang, Vietnam"
Montreal Canadá,"Montreal, Canada"
"Kuala Lumpur, Malasia","Kuala Lumpur, Malaysia"
"Brno, Chequia","Brno, Czechia"
"Chicago, IL, Estados Unidos","Chicago, IL, United States"
"Ubud, Bali, Indonesia","Ubud, Bali, Indonesia"
"Timisoara, Rumania","Timisoara, Romania"
"Chisinau, Moldavia","Chisinau, Moldova"
"Phuket, Tailandia","Phuket, Thailand"
"Varsovia, Polonia","Warsaw, Poland"
"Bansko, Bulgaria","Bansko, Bulgaria"
Toronto Canada,"Toronto, Canada"
"Tampa, FL, Estados Unidos","Tampa, FL, United States"
"Barcelona, ​​España","Barcelona, Spain"
"Manila, Filipinas","Manila, Philippines"
"Pokhara, Nepal","Pokhara, Nepal"
"Willemstad, Curazao","Willemstad, Curaçao"
"Ploiesti, Rumanía","Ploiesti, Romania"
"Siem Reap, Camboya","Siem Reap, Cambodia"
"Oaxaca, México","Oaxaca, Mexico"
"Edimburgo, Reino Unido","Edinburgh, United Kingdom"
"Davao, Filipinas","Davao, Philippines"
"Cracovia, Polonia","Kraków, Poland"
"Mumbai, India","Mumbai, India"
"Wrocław, Polonia","Wrocław, Poland"
"Ericeira, Portugal","Ericeira, Portugal"
"Nakhon Ratchasima, Tailandia","Nakhon Ratchasima, Thailand"
"Split, Croacia","Split, Croatia"
"Las Palmas, Islas Canarias, España","Las Palmas, Canary Islands, Spain"
"Vilnius, Lituania","Vilnius, Lithuania"
"Ciudad de Nueva York, NY, Estados Unidos","New York City, NY, United States"
"Valencia, España","Valencia, Spain"
"Christchurch, Nueva Zelanda","Christchurch, New Zealand"
"Gdansk, Polonia","Gdansk, Poland"
"Palawan, Filipinas","Palawan, Philippines"
"Nueva Orleans, LA, Estados Unidos","New Orleans, LA, United States"
"Tucson, AZ, Estados Unidos","Tucson, AZ, United States"
"Los Ángeles, CA, Estados Unidos","Los Angeles, CA, United States"
"Madrid, España","Madrid, Spain"
"Boston, MA, Estados Unidos","Boston, MA, United States"
"Suva, Fiji","Suva, Fiji"
"Bucarest, Rumania","Bucharest, Romania"
"Delhi, India","Delhi, India"
"Almaty, Kazajstán","Almaty, Kazakhstan"
"Varna, Bulgaria","Varna, Bulgaria"
"Ciudad de Ho Chi Minh, Vietnam","Ho Chi Minh City, Vietnam"
"Colombo, Sri Lanka","Colombo, Sri Lanka"
"Glasgow, Reino Unido","Glasgow, United Kingdom"
"Ljubljana, Eslovenia","Ljubljana, Slovenia"
"Hoi An, Vietnam","Hoi An, Vietnam"
"Burgas, Bulgaria","Burgas, Bulgaria"
"Agra, India","Agra, India"
"Ottawa, Canadá","Ottawa, Canada"
"San Diego, CA, Estados Unidos","San Diego, CA, United States"
"Munich, Alemania","Munich, Germany"
"Puerto Escondido, México","Puerto Escondido, Mexico"
"Kansas City, MO, Estados Unidos","Kansas City, MO, United States"
"Winnipeg, Canadá","Winnipeg, Canada"
"Viena, Austria","Vienna, Austria"
"Galle, Sri Lanka","Galle, Sri Lanka"
"Saskatoon, Canadá","Saskatoon, Canada"
"Shanghai, China","Shanghai, China"
"Phnom Penh, Camboya","Phnom Penh, Cambodia"
"Goa, India","Goa, India"
"Odessa, Ucrania","Odessa, Ukraine"
"El Gouna, Egipto","El Gouna, Egypt"
"Khulna, Bangladesh","Khulna, Bangladesh"
"Edmonton, Canadá","Edmonton, Canada"
"Hanoi, Vietnam","Hanoi, Vietnam"
"Wellington, Nueva Zelanda","Wellington, New Zealand"
"Amman, Jordania","Amman, Jordan"
"Mysore, India","Mysore, India"
"Lima, Perú","Lima, Peru"
"Minneapolis, MN, Estados Unidos","Minneapolis, MN, United States"
"Pune, India","Pune, India"
"Atenas, Grecia","Athens, Greece"
"Battle Creek, MI, Estados Unidos","Battle Creek, MI, United States"
"Tbilisi, Georgia","Tbilisi, Georgia"
"Surrey, Canadá","Surrey, Canada"
"Hubli, India","Hubli, India"
"Mamaia, Rumania","Mamaia, Romania"
"Cebu, Filipinas","Cebu, Philippines"
"Chittagong, Bangladesh","Chittagong, Bangladesh"
"Chiang Rai, Tailandia","Chiang Rai, Thailand"
"Abbotsford, Canadá","Abbotsford, Canada"
"Uluwatu, Bali, Indonesia","Uluwatu, Bali, Indonesia"
"Thane, India","Thane, India"
"Atlanta, GA, Estados Unidos","Atlanta, GA, United States"
"Dublín, Irlanda","Dublin, Ireland"
"Florianópolis, Brasil","Florianopolis, Brazil"
"Cuenca, Ecuador","Cuenca, Ecuador"
"Brownsville, TX, Estados Unidos","Brownsville, TX, United States"
"Ponta Delgada, Azores, Portugal","Ponta Delgada, Azores, Portugal"
"Meerut, India","Meerut, India"
"Jimbaran, Bali, Indonesia","Jimbaran, Bali, Indonesia"
"Lagos, Nigeria","Lagos, Nigeria"
"Isla de Jeju, Corea del Sur","Jeju Island, South Korea"
"La Habana, Cuba","Havana, Cuba"
"Tulum, México","Tulum, Mexico"
"Braga, Portugal","Braga, Portugal"
"Rijeka, Croacia","Rijeka, Croatia"
"Regina, Canadá","Regina, Canada"
"Baguio, Filipinas","Baguio, Philippines"
"Hyderabad, India","Hyderabad, India"
"Oporto, Portugal","Porto, Portugal"
"Tenerife, Islas Canarias, España","Tenerife, Canary Islands, Spain"
"Tallin, Estonia","Tallinn, Estonia"
"Denver, CO, Estados Unidos","Denver, CO, United States"
Cancún México,"Cancun, Mexico"
"Szczecin, Polonia","Szczecin, Poland"
"Brampton, Canadá","Brampton, Canada"
"Sevilla, España","Seville, Spain"
"San Antonio, TX, Estados Unidos","San Antonio, TX, United States"
"Ko Samui, Tailandia","Ko Samui, Thailand"
"Essaouira, Marruecos","Essaouira, Morocco"
"General Santos, Filipinas","General Santos, Philippines"
"Orlando, FL, Estados Unidos","Orlando, FL, United States"
"Chatham, Canadá","Chatham, Canada"
"Gwalior, India","Gwalior, India"
"Haikou, China","Haikou, China"
"Manchester, Reino Unido","Manchester, United Kingdom"
"Siargao, Filipinas","Siargao, Philippines"
"Antalya, Turquía","Antalya, Turkey"
"Lucknow, India","Lucknow, India"
"Miami, FL, Estados Unidos","Miami, FL, United States"
"Funchal, Madeira, Portugal","Funchal, Madeira, Portugal"
"Nashik, India","Nashik, India"
"La Unión, Filipinas","La Union, Philippines"
"Bratislava, Eslovaquia","Bratislava, Slovakia"
"Munggu, Bali, Indonesia","Munggu, Bali, Indonesia"
"Guadalajara, México","Guadalajara, Mexico"
"Plovdiv, Bulgaria","Plovdiv, Bulgaria"
"Kota Kinabalu, Malasia","Kota Kinabalu, Malaysia"
"Taghazout, Marruecos","Taghazout, Morocco"
"Bryan, TX, Estados Unidos","Bryan, TX, United States"
"Oslo, Noruega","Oslo, Norway"
"Liverpool, Reino Unido","Liverpool, United Kingdom"
"Laredo, TX, Estados Unidos","Laredo, TX, United States"
"Evansville, IN, Estados Unidos","Evansville, IN, United States"
"Reykjavik, Islandia","Reykjavik, Iceland"
"Colonia, Alemania","Cologne, Germany"
"Jabalpur, India","Jabalpur, India"
"Spokane, WA, Estados Unidos","Spokane, WA, United States"
"Birmingham, AL, Estados Unidos","Birmingham, AL, United States"
"Kanpur, India","Kanpur, India"
"Asansol, India","Asansol, India"
"Hobart, Australia","Hobart, Australia"
"El Jadida, Marruecos","El Jadida, Morocco"
"Poznan, Polonia","Poznan, Poland"
"Paramaribo, Surinam","Paramaribo, Suriname"
"Leicester, Reino Unido","Leicester, United Kingdom"
"Quito, Ecuador","Quito, Ecuador"
"Dallas, TX, Estados Unidos","Dallas, TX, United States"
"Kuching, Malasia","Kuching, Malaysia"
"Copenhague, Dinamarca","Copenhagen, Denmark"
"Salt Lake City, UT, Estados Unidos","Salt Lake City, UT, United States"
"Dunedin, Nueva Zelanda","Dunedin, New Zealand"
"Dhanbad, India","Dhanbad, India"
"Columbus, GA, Estados Unidos","Columbus, GA, United States"
"Beaumont, TX, Estados Unidos","Beaumont, TX, United States"
"Mobile, AL, Estados Unidos","Mobile, AL, United States"
"Mostar, Bosnia","Mostar, Bosnia"
"Seminyak, Bali, Indonesia","Seminyak, Bali, Indonesia"
"Fredericton, Canadá","Fredericton, Canada"
"Halifax, Canadá","Halifax, Canada"
"Medellín, Colombia","Medellín, Colombia"
"Kalyan, India","Kalyan, India"
"Bareilly, India","Bareilly, India"
"Ko Tao, Tailandia","Ko Tao, Thailand"
"Albany, OR, Estados Unidos","Albany, OR, United States"
"Jamshedpur, India","Jamshedpur, India"
"París, Francia","Paris, France"
"Luanda, Angola","Luanda, Angola"
"Adelaide, Australia","Adelaide, Australia"
"Adana, Turquía","Adana, Turkey"
"Banja Luka, Bosnia","Banja Luka, Bosnia"
"Malang, Indonesia","Malang, Indonesia"
"Rochester, MN, Estados Unidos","Rochester, MN, United States"
"Cleveland, OH, Estados Unidos","Cleveland, OH, United States"
"Johannesburgo, Sudáfrica","Johannesburg, South Africa"
"Leeds, Reino Unido","Leeds, United Kingdom"
"Kingston, Jamaica","Kingston, Jamaica"
"Fayetteville, NC, Estados Unidos","Fayetteville, NC, United States"
"Dresde, Alemania","Dresden, Germany"
"Grande Prairie, Canadá","Grande Prairie, Canada"
"Clarksville, TN, Estados Unidos","Clarksville, TN, United States"
"Port Elizabeth, Sudáfrica","Port Elizabeth, South Africa"
"Tulsa, OK, Estados Unidos","Tulsa, OK, United States"
"Allahabad, India","Allahabad, India"
"S t. Catharines, Canadá ","St. Catharines, Canada"
"Pattaya, Tailandia","Pattaya, Thailand"
"Nagpur, India","Nagpur, India"
"Kannur, India","Kannur, India"
"Apia, Samoa","Apia, Samoa"
"Toledo, OH, Estados Unidos","Toledo, OH, United States"
"Mérida, México","Merida, Mexico"
"Beirut, Líbano","Beirut, Lebanon"
"Nha Trang, Vietnam","Nha Trang, Vietnam"
"Busan, Corea del Sur","Busan, South Korea"
"Sioux Falls, SD, Estados Unidos","Sioux Falls, SD, United States"
"Novi Sad, Serbia","Novi Sad, Serbia"
"Kozhikode, India","Kozhikode, India"
"La Paz, México","La Paz, Mexico"
"Gainesville, FL, Estados Unidos","Gainesville, FL, United States"
"Medford, OR, Estados Unidos","Medford, OR, United States"
"Roanoke, VA, Estados Unidos","Roanoke, VA, United States"
"Montevideo, Uruguay","Montevideo, Uruguay"
"Malappuram, India","Malappuram, India"
"Nashville, TN, Estados Unidos","Nashville, TN, United States"
"Groningen, Países Bajos","Groningen, Netherlands"
"Querétaro, México","Queretaro, Mexico"
"Lodz, Polonia","Lodz, Poland"
"Oshawa, Canadá","Oshawa, Canada"
"Stuttgart, Alemania","Stuttgart, Germany"
"Peoria, IL, Estados Unidos","Peoria, IL, United States"
"Islas Galápagos, Ecuador","Galapagos Islands, Ecuador"
"Cozumel, México","Cozumel, Mexico"
"Constanta, Rumania","Constanta, Romania"
"Aurangabad, India","Aurangabad, India"
"Rio de Janeiro, Brasil","Rio de Janeiro, Brazil"
"Tartu, Estonia","Tartu, Estonia"
"Helsinki, Finlandia","Helsinki, Finland"
"Kokomo, IN, Estados Unidos","Kokomo, IN, United States"
"Columbus, OH, Estados Unidos","Columbus, OH, United States"
"Des Moines, IA, Estados Unidos","Des Moines, IA, United States"
"Hull, Reino Unido","Hull, United Kingdom"
"Sanur, Bali, Indonesia","Sanur, Bali, Indonesia"
"Kennewick, WA, Estados Unidos","Kennewick, WA, United States"
"Georgetown, Guyana","Georgetown, Guyana"
"Varanasi, India","Varanasi, India"
"Bakersfield, CA, Estados Unidos","Bakersfield, CA, United States"
"Osijek, Croacia","Osijek, Croatia"
"Thrissur, India","Thrissur, India"
"Jacksonville, FL, Estados Unidos","Jacksonville, FL, United States"
"Ko Lanta, Tailandia","Ko Lanta, Thailand"
"Amsterdam, Holanda","Amsterdam, Netherlands"
"Malmö, Suecia","Malmö, Sweden"
"Fortaleza, Brasil","Fortaleza, Brazil"
"Rogers, AR, Estados Unidos","Rogers, AR, United States"
"Pisa, Italia","Pisa, Italy"
"Charlotte, NC, Estados Unidos","Charlotte, NC, United States"
"Louisville, Kentucky, Estados Unidos","Louisville, KY, United States"
"Durg, India","Durg, India"
"Cabo San Lucas, México","Cabo San Lucas, Mexico"
"San Francisco, CA, Estados Unidos","San Francisco, CA, United States"
"Madurai, India","Madurai, India"
"Jonesboro, AR, Estados Unidos","Jonesboro, AR, United States"
"Nis, Serbia","Nis, Serbia"
"Cairns, Australia","Cairns, Australia"
"Lago Balaton, Hungría","Lake Balaton, Hungary"
"Benin City, Nigeria","Benin City, Nigeria"
"Hamburgo, Alemania","Hamburg, Germany"
"La Plata, Argentina","La Plata, Argentina"
"Eugene, OR, Estados Unidos","Eugene, OR, United States"
"Bari, Italia","Bari, Italy"
"Zadar, Croacia","Zadar, Croatia"
"Nairobi, Kenia","Nairobi, Kenya"
"Burlington, NC, Estados Unidos","Burlington, NC, United States"
"Grand Rapids, MI, Estados Unidos","Grand Rapids, MI, United States"
"Krabi, Tailandia","Krabi, Thailand"
"Cedar Rapids, IA, Estados Unidos","Cedar Rapids, IA, United States"
"Jodhpur, India","Jodhpur, India"
"Tokio, Japón","Tokyo, Japan"
"Little Rock, AR, Estados Unidos","Little Rock, AR, United States"
"Fargo, ND, Estados Unidos","Fargo, ND, United States"
"Ereván, Armenia","Yerevan, Armenia"
"Lake Charles, LA, Estados Unidos","Lake Charles, LA, United States"
"Greensboro, NC, Estados Unidos","Greensboro, NC, United States"
"Owensboro, KY, Estados Unidos","Owensboro, KY, United States"
"Da Lat, Vietnam","Da Lat, Vietnam"
"Génova, Italia","Genoa, Italy"
"Santiago, Chile","Santiago, Chile"
"Conroe, TX, Estados Unidos","Conroe, TX, United States"
"Giza, Egipto","Giza, Egypt"
"Riga, Letonia","Riga, Latvia"
"Tyler, TX, Estados Unidos","Tyler, TX, United States"
"Detroit, MI, Estados Unidos","Detroit, MI, United States"
"Indianapolis, IN, Estados Unidos","Indianapolis, IN, United States"
"Victoria, Canadá","Victoria, Canada"
"Tangier, Marruecos","Tangier, Morocco"
"Aligarh, India","Aligarh, India"
"Pretoria, Sudáfrica","Pretoria, South Africa"
"Frankfurt, Alemania","Frankfurt, Germany"
"Bethlehem, PA, Estados Unidos","Bethlehem, PA, United States"
"San José, Costa Rica","San José, Costa Rica"
"Gaziantep, Turquía","Gaziantep, Turkey"
"Nanaimo, Canadá","Nanaimo, Canada"
"Katowice, Polonia","Katowice, Poland"
"Bowling Green, KY, Estados Unidos","Bowling Green, KY, United States"
"Lubbock, TX, Estados Unidos","Lubbock, TX, United States"
"Eau Claire, WI, Estados Unidos","Eau Claire, WI, United States"
"Killeen, TX, Estados Unidos","Killeen, TX, United States"
"Melbourne, FL, Estados Unidos","Melbourne, FL, United States"
"Edinburg, TX, Estados Unidos","Edinburg, TX, United States"
"Intag Valley, Ecuador","Intag Valley, Ecuador"
"Oklahoma City, OK, Estados Unidos","Oklahoma City, OK, United States"
"Sacramento, CA, Estados Unidos","Sacramento, CA, United States"
"Padua, Italia","Padova, Italy"
"Richland, WA, Estados Unidos","Richland, WA, United States"
"Aquisgrán, Alemania","Aachen, Germany"
"Montgomery, AL, Estados Unidos","Montgomery, AL, United States"
"Amarillo, TX, Estados Unidos","Amarillo, TX, United States"
"Las Vegas, NV, Estados Unidos","Las Vegas, NV, United States"
"Ibadan, Nigeria","Ibadan, Nigeria"
"Sliema, Malta","Sliema, Malta"
"Perth, Australia","Perth, Australia"
"Amed, Bali, Indonesia","Amed, Bali, Indonesia"
"San Miguel de Allende, México","San Miguel de Allende, Mexico"
"Stockton, CA, Estados Unidos","Stockton, CA, United States"
"Salónica, Grecia","Thessaloniki, Greece"
"Ko Phi Phi, Tailandia","Ko Phi Phi, Thailand"
"Jaipur, India","Jaipur, India"
"Macon, GA, Estados Unidos","Macon, GA, United States"
"Ao Nang, Tailandia","Ao Nang, Thailand"
"Bossier City, LA, Estados Unidos","Bossier City, LA, United States"
"Denpasar, Bali, Indonesia","Denpasar, Bali, Indonesia"
"Luxor, Egipto","Luxor, Egypt"
"Vasai, India","Vasai, India"
"Normal, IL, Estados Unidos","Normal, IL, United States"
"Bloomington, IL, Estados Unidos","Bloomington, IL, United States"
"Kingsport, TN, Estados Unidos","Kingsport, TN, United States"
"Memphis, TN, Estados Unidos","Memphis, TN, United States"
"Minot, ND, Estados Unidos","Minot, ND, United States"
"Fort Wayne, IN, Estados Unidos","Fort Wayne, IN, United States"
"Phoenix, AZ, Estados Unidos","Phoenix, AZ, United States"
"Male, Maldivas","Male, Maldives"
"San Juan del Sur, Nicaragua","San Juan del Sur, Nicaragua"
"Minsk, Bielorrusia","Minsk, Belarus"
"Wollongong, Australia","Wollongong, Australia"
"Podgorica, Montenegro","Podgorica, Montenegro"
"Puebla, México","Puebla, Mexico"
"Udon Thani, Tailandia","Udon Thani, Thailand"
"Vijayawada, India","Vijayawada, India"
"Montego Bay, Jamaica","Montego Bay, Jamaica"
"Champaign, IL, Estados Unidos","Champaign, IL, United States"
"Aveiro, Portugal","Aveiro, Portugal"
"Nuremberg, Alemania","Nuremberg, Germany"
"Ogden, UT, Estados Unidos","Ogden, UT, United States"
"Tallahassee, FL, Estados Unidos","Tallahassee, FL, United States"
"Birmingham, Reino Unido","Birmingham, United Kingdom"
"Auburn, AL, Estados Unidos","Auburn, AL, United States"
"Belem, Brasil","Belem, Brazil"
"Brisbane, Australia","Brisbane, Australia"
"Krasnodar, Rusia","Krasnodar, Russia"
"Alanya, Turquía","Alanya, Turkey"
"Bismarck, ND, Estados Unidos","Bismarck, ND, United States"
"Tirana, Albania","Tirana, Albania"
"Shreveport, LA, Estados Unidos","Shreveport, LA, United States"
"Warner Robins, GA, Estados Unidos","Warner Robins, GA, United States"
"Muncie, IN, Estados Unidos","Muncie, IN, United States"
"Marrakesh, Marruecos","Marrakesh, Morocco"
"Corpus Christi, TX, Estados Unidos","Corpus Christi, TX, United States"
"Port Arthur, TX, Estados Unidos","Port Arthur, TX, United States"
"Bath, Reino Unido","Bath, United Kingdom"
"Conway, AR, Estados Unidos","Conway, AR, United States"
"Chattanooga, TN, Estados Unidos","Chattanooga, TN, United States"
"Bodrum, Turquía","Bodrum, Turkey"
"Paphos, Chipre","Paphos, Cyprus"
"Córdoba, Argentina","Cordoba, Argentina"
"Kochi, India","Kochi, India"
"Houston, TX, Estados Unidos","Houston, TX, United States"
"Gili Air, Indonesia","Gili Air, Indonesia"
"Queenstown, Nueva Zelanda","Queenstown, New Zealand"
"Hoover, AL, Estados Unidos","Hoover, AL, United States"
"Pekanbaru, Sumatra, Indonesia","Pekanbaru, Sumatra, Indonesia"
"Syracuse, NY, Estados Unidos","Syracuse, NY, United States"
"Terre Haute, IN, Estados Unidos","Terre Haute, IN, United States"
"Surabaya, Indonesia","Surabaya, Indonesia"
"Yakarta, Indonesia","Jakarta, Indonesia"
"Raleigh, NC, Estados Unidos","Raleigh, NC, United States"
"Calgary, Canadá","Calgary, Canada"
"Ranchi, India","Ranchi, India"
"San José, CA, Estados Unidos","San Jose, CA, United States"
"Canton, OH, Estados Unidos","Canton, OH, United States"
"N'Djamena, Chad","N'Djamena, Chad"
"Mitsurin, Brasil","Mitsurin, Brazil"
"Trípoli, Libia","Tripoli, Libya"
"Djibouti, Djibouti","Djibouti, Djibouti"
"Nouméa, Nueva Caledonia","Nouméa, New Caledonia"
"Basora, Irak","Basra, Iraq"
"Sargodha, Pakistán","Sargodha, Pakistan"
"Monrovia, Liberia","Monrovia, Liberia"
"Ajaccio, Córcega, Francia","Ajaccio, Corsica, France"
"Yangzhou, China","Yangzhou, China"
"Bangui, República Centroafricana","Bangui, Central African Republic"
"Bahawalpur, Pakistán","Bahawalpur, Pakistan"
"Anápolis, Brasil","Anápolis, Brazil"
"Mogadishu, Somalia","Mogadishu, Somalia"
"Kabul, Afganistán","Kabul, Afghanistan"
"Isfahan, Irán","Isfahan, Iran"
"Damasco, Siria","Damascus, Syria"
"Kralendijk, Bonaire","Kralendijk, Bonaire"
"Peshawar, Pakistán","Peshawar, Pakistan"
"Cayena, Guayana Francesa","Cayenne, French Guiana"
"Tengzhou, China","Tengzhou, China"
"Kirkuk, Kurdistán","Kirkuk, Kurdistan"
"Zaria, Nigeria","Zaria, Nigeria"
"Quetta, Pakistán","Quetta, Pakistan"
"Sialkot, Pakistán","Sialkot, Pakistan"
"Bengasi, Libia","Benghazi, Libya"
"S t. Gallen, Suiza ","St. Gallen, Switzerland"
"Interlaken, Suiza","Interlaken, Switzerland"
"Apple Valley, CA, Estados Unidos","Apple Valley, CA, United States"
"Bamako, Malí","Bamako, Mali"
"Ahvaz, Irán","Ahvaz, Iran"
"Annecy, Francia","Annecy, France"
"Rouen, Francia","Rouen, France"
"Handan, China","Handan, China"
"Xiangyang, China","Xiangyang, China"
"Elgin, IL, Estados Unidos","Elgin, IL, United States"
"Cochabamba, Bolivia","Cochabamba, Bolivia"
"Lausana, Suiza","Lausanne, Switzerland"
"Mosul, Irak","Mosul, Iraq"
